Rank,Song,Artist,Year,Lyrics,Source,Label,Ownership
18,naughty girl,beyonce,2004,im feelin sexy i wanna hear you say my name boy if you can reach me you can feel my burning flame im feelin kind of nasty i might just take you home with me baby the minute i feel your energy your vibes just taken over me start feelin so crazy babe i feel the funk coming over me i dont know whats gotten into me the rhythms got me feelin so crazy babe tonight ill be your naughty girl im callin all my girls were gonna turn this party out i know you want my body tonight ill be your naughty girl im callin all my girls i see you look me up and down and i came to party youre so sexy tonight i am all yours boy the way your body moves across the floor you got me feelin nasty i might just take you home with me baby the minute i feel your energy the vibes just taken over me start feelin so crazy babe i feel the funk coming over me i dont know whats gotten into me the rhythms got me feelin so crazy babe tonight ill be your naughty girl im callin all my girls were gonna turn this party out i know you want my body tonight ill be your naughty girl im callin all my girls i see you look me up and down and i came to party i love to love you baby i love to love you baby i love to love you baby i love to love you baby tonight ill be your naughty girl im callin all my girls were gonna turn this party out i know you want my body tonight ill be your naughty girl im callin all my girls i see you look me up and down and i came to party repeat to end,3,Romantic,Suresh
19,my immortal,evanescence,2004,im so tired of being here suppressed by all my childish fears and if you have to leave i wish that you would just leave cause your presence still lingers here and it wont leave me alonethese wounds wont seem to heal this pain is just too real theres just too much that time cannot erasewhen you cried id wipe away all of your tears when youd scream id fight away all of your fears and i held your hand through all of these years but you still have all of meyou used to captivate me by your resonating light now im bound by the life you left behind your face it haunts my once pleasant dreams your voice it chased away all the sanity in methese wounds wont seem to heal this pain is just too real theres just too much that time cannot erasewhen you cried id wipe away all of your tears when youd scream id fight away all of your fears and i held your hand through all of these years but you still have all of meive tried so hard to tell myself that youre gone but though youre still with me ive been alone all alongwhen you cried id wipe away all of your tears when youd scream id fight away all of your fears and i held your hand through all of these years you still have all of me me me,1,Sad,Suresh
20,sunshine,lil flip featuring lea,2004,yeeah ohh ohh ohh oh baby lil flipper lil flipper ooh baby my girl lea my girl lea hit itsunshine i can call you my baby boy you can call me your baby girl maybe we can spend some time some time i can be your sunshine i can call you my baby boy you can call me your baby girl maybe we can spend some time some time i can be your sunshinelook i know you want to chill wit a player but all you got to do is keep it real wit a player just answer your phone whenever i call cause im riding on chrome whenever i ball i like them short and tall but not too thick i just walk in the spot and take my pick and they want to roll cause they like my style and when i pop my collar i make them smile i need a lady in the streets but a freak in the sheets that know how to cook cause a nigga like to eat spaghetti shrimp and steak and ill adore you ill treat you like milk ill do nothing but spoil yousunshine i can call you my baby boy you can call me your baby girl maybe we can spend some time some time i can be your sunshine i can call you my baby boy you can call me your baby girl maybe we can spend some time some time i can be your sunshinei know your friends want to holla cause i got them dollars push the maybach monday tuesday impala i switch whips like kicks im a balla im a balla and if i get your phone number im a call ya im a call ya and we can meet up the next day and chill but im always on the road baby girl thats how i live i got bills to pay i got moves to make but when my plane touch down pick me up at 800 dont be latesunshine i can call you my baby boy you can call me your baby girl maybe we can spend some time some time i can be your sunshine i can call you my baby boy you can call me your baby girl maybe we can spend some time some time i can be your sunshinewe dont have to be in love love we can just be friends i will be right there beginning to the end i can bring my girls girls you can bring your friends friendswe can both have fun dont want this stuff to endthey say love is pain and pain is love i know ya momma mad cause you talk to a thug you think you know my type but you aint got no clue about what a real nigga like me do i like to stack my bread and flip my chips and i can change ya life if ya get wit flip i take private jets to vegas man its twenty bread each pick cause im major man we can cruise the world in a bentley azure but dont worry the chauffeur open the door you couldnt ask for more cause we got it all we got it all cause you my baby girl right rightsunshine i can call you my baby boy you can call me your baby girl maybe we can spend some time some time i can be your sunshine i can call you my baby boy you can call me your baby girl maybe we can spend some time some time i can be your sunshinewe dont have to be in love love we dont have to be in love love,1,Romantic,Suresh
21,dirt off your shoulder,jayz,2004,youre now tuned into the mufuckin greatest turn the music up in the headphones tim you can go and brush your shoulder off nigga i got you yeahif you feelin like a pimp nigga go and brush your shoulders off ladies is pimps too gon brush your shoulders off niggas is crazy baby dont forget that boy told you get that dirt off your shoulderi probably owe it to yall proud to be locked by the force tryin to hustle some things that go with the porsche feelin no remorse feelin like my hand was forced middle finger to the lord nigga grip im a boss stab the ladies they love me from the bleachers they screamin all the ballers is bouncin they like the way i be leanin all the rappers be hatin off the track that im makin but all the hustlers they love it just to see one of us make it came from the bottom the bottom to the top of the pots nigga london japan and im straight off the block like a running back get it man im straight off the block i can run it back nigga cause im straight with the rocif you feelin like a pimp nigga go and brush your shoulders off ladies is pimps too gon brush your shoulders off niggas is crazy baby dont forget that boy told you get that dirt off your shoulderyou gotta get that dirt off your shoulder you gotta get that dirt off your shoulder you gotta get that dirt off your shoulder you gotta get that dirt off your shoulderyour homey hov in position in the kitchen with soda i just whipped up a watch tryin to get me a rover tryin to stretch out the coca like a wrestler yessir keep the heckler close you know them smokersll test ya but like fiftytwo cards when im im through dealin now fiftytwo bars come out now you feel em now fiftytwo cars roll out remove ceiling in case fiftytwo broads come out now you chillin with a boss bitch of course sc on the sleeve at the 4040 club espn on the screen i paid a grip for the jeans plus the slippers is clean no chrome on the wheels im a grownup for realif you feelin like a pimp nigga go and brush your shoulders off ladies is pimps too gon brush your shoulders off niggas is crazy baby dont forget that boy told you get that dirt off your shoulderyou gotta get that dirt off your shoulder you gotta get that dirt off your shoulder you gotta get that dirt off your shoulder you gotta get that dirt off your shoulderyour boy back in the building brooklyn we back on the map me and my beautiful bitch in the back of that bach im the realest that run it i just happen to rap i aint gotta clap at em niggas scared of that black i drop that black album then i back out it as the best rapper alive nigga ask about me from bricks to billboards from grams to grammys the os to opposite orphan annie you gotta pardon jay for sellin out the garden in a day im like a young marvin in his hey im a hustler homey you a customer crony got some dirt on my shoulder could you brush it off for meif you feelin like a pimp nigga go and brush your shoulders off ladies is pimps too gon brush your shoulders off niggas is crazy baby dont forget that boy told you get that dirt off your shoulderyou gotta get that dirt off your shoulder you gotta get that dirt off your shoulder you gotta get that dirt off your shoulder you gotta get that dirt off your shoulderyoure now tuned into the mufuckin greatestbest rapper alive best rapper alive,1,Party,Suresh
22,move ya body,nina sky,2004,ooh move your body girl makes the fellas go the way you ride it girl makes this fellas goooh move your body girl makes the fellas go the way you ride it girl makes the fellas go,1,Party,Suresh
23,dip it low,christina milian,2004,says he wants you he says he needs you its real talking why not make him wait for you if he really wants you if he really needs you really got to have you take your time and feel him out when its a good boy i mean a really really good boy why not let him lay with you thats when you give it to him gooddip it low pick it up slow roll it all around poke it out like your back broke pop pop pop that thing ima show you how to make your man say ooh dip it low pick it up slow roll it all around poke it out like your back broke pop pop pop that thing ima show you how to make your man say oohyou getting bold he growin cold its just the symptoms of young love growin old you think its time and your thinking of leaving but give it time its late at night hes coming home meet him at the door with nothin on take him by the hair let him know whats on if you understand me yall come onall my ladies wind it up if you know just how to move move all my fellas jump behind and show her what you want to do show her what you got daddyall my ladies wind it up if you know just how to move all my fellas jump behind and show her what you want to do oh whoa ohdip it low pick it up slow roll it all around poke it out like your back broke pop pop pop that thing ima show you how to make your man say ooh dip it low pick it up slow roll it all around poke it out like your back broke pop pop pop that thing ima show you how to make your man say oohwe can move if you want towe can move if you want towe can move if you want towe can movedip it low pick it up slow roll it all around poke it out like your back broke pop pop pop that thing ima show you how to make your man say ooh dip it low pick it up slow roll it all around poke it out like your back broke pop pop pop that thing ima show you how to make your man say oohdip it low pick it up slow roll it all around poke it out like your back broke pop pop pop that thing ima show you how to make your man say ooh dip it low pick it up slow roll it all around poke it out like your back broke pop pop pop that thing ima show you how to make your man say ooh,1,Romantic,Suresh
24,my boo,usher and alicia keys,2004,theres always that one person that will always have your heart youll never see it coming cause youre blinded from the start know that youre that one for me its clear for everyone to see oh baby ooh youll always be my booi dont know bout chall but i know about us and uh this is the only way we know how to rock i dont know bout chall but i know about us and uh this is the only way we know how to rockdo you remember girl i was the one who gave you your first kiss cause i remember girl i was the one who said put your lips like this even before all the fame and people screaming your name girl i was there and you were my babyit started when we were younger girl you were mine my boo now another brothers taking over but its still in your eyes my boo even though we used to argue its alright i know we havent seen each other in awhile but you will always be my booi was in love with you when we were younger you were mine my boo and i see it from time to time i still feel like my boo and i can see it no matter how i try to hide my boo even though theres another man whos in my life you will always be my booyes i remember boy cause after we kissed i could only think about your lips yes i remember boy the moment i knew you were the one i could spend my life with even before all the fame and people screaming your name i was there and you were my babyit started when we were younger girl you were mine my boo now another brothers taking over but its still in your eyes my boo even though we used to argue its alright i know we havent seen each other in awhile but you will always be my booi was in love with you when we were younger you were mine my boo and i see it from time to time i still feel like my boo and i can see it no matter how i try to hide my boo even though theres another man in my life you will always be my boomy oh my oh my oh my oh my boo my oh my oh my oh my oh my booit started when we were younger girl you were mine my boo now another brothers taking over but its still in your eyes my boo even though we used to argue its alright i know we havent seen each other in awhile but you will always be my booi dont know bout chall but i know about us and uh this is the only way we know how to rock i dont know bout chall but i know about us and uh this is the only way we know how to rock,1,Romantic,Suresh
25,one call away,chingy featuring jweav,2004,yeah yeah dtp how we do call you you can call me whatever you want to do baby come onyou could roll with me give me a call if you wanna come roll with me if you was my baby im only one call away you could roll with me give me a call if you wanna come roll with me if you was my lady im only one call awayyou could roll with me give me a call if you wanna come roll with me if you was my baby im only one call away you could roll with me give me a call if you wanna come roll with me if you was my lady im only one call awayit was weird how we met huh she was with her mom at bank of america im with my son cashing a check so i asked out of respect uh would she like to explore the world or fly we can fly in my jet her reply was yes can i ask you something i seen it in her eye momma looking like all i wanted was sex then moved to the next that aint true but it was something about his girls style that make me feel no regrets we started off casual walks through the park candle light dinners by dark im thinking smart afraid she might think im in a rush to touch clutch and be up but baby i aint on that stuff dropped her off and told her call me up we could talk conversate about political subjects whatever starts so i zoomed off thinkin bout her my phone rang it was her in the shower what did she say she said i couldnt do without you then i sayyou could roll with me give me a call if you wanna come roll with me if you was my baby im only one call away you could roll with me give me a call if you wanna come roll with me if you was my lady im only one call awayyou could roll with me give me a call if you wanna come roll with me if you was my baby im only one call away you could roll with me give me a call if you wanna come roll with me if you was my lady im only one call awaythe next day im with the fellas at the case playin ball here she come with her friends they posted up on the wall now im showin off tryin to dunk tryin to dribble break fast threw the middle just to see her smile and giggle game over i approached her with a kiss on the cheek the homeboys looking at me saying lil howard you weak but you know how that go what i got they want what i got i flaunt never mess with it please dont told her im goin home she asked can she go too im like yeah boo i cant see me without you got thurr i took a shower jumped out she in the bed with a seethrew thong on looked at her and i saidyou could roll with me give me a call if you wanna come roll with me if you was my baby im only one call away you could roll with me give me a call if you wanna come roll with me if you was my lady im only one call awayyou could roll with me give me a call if you wanna come roll with me if you was my baby im only one call away you could roll with me give me a call if you wanna come roll with me if you was my lady im only one call awaygirl recognize game before game recognize you you dealin with a playa true now what you wanna do we can kick it and go puff on a blunt oh you dont smoke grab a pint of henn and we can get drunk its up to you im the man but baby just let me know cause if you got a attitude then i could treat you just like a ho if ya rollin with me baby hop in its enough room we can gaze at the stars and shine like the moon give me a chance to show ya and a chance to know ya just be true and theres nothing i wont do for ya some women like to play it foul but them the kind i put in a place like a child dont worry be happy and smileyou could roll with me give me a call if you wanna come roll with me if you was my baby im only one call away you could roll with me give me a call if you wanna come roll with me if you was my lady im only one call awayyou could roll with me give me a call if you wanna come roll with me if you was my baby im only one call away you could roll with me give me a call if you wanna come roll with me if you was my lady im only one call awayyou could roll with me give me a call if you wanna come roll with me if you was my baby im only one call away you could roll with me give me a call if you wanna come roll with me if you was my lady im only one call awayyou could roll with me give me a call if you wanna come roll with me if you was my baby im only one call away you could roll with me give me a call if you wanna come roll with me if you was my lady im only one call awaydtp ha how we do ha give me call if you wanna ball you know what it is,1,Romantic,Suresh
26,me myself and i,beyonce,2004,all the ladies if you feel me help me sing it out incomprehensible i cant believe i believed everything we had would last so young and naive of me to think she was from your past silly of me to dream of one day having your kids love is so blind it feels right when its wrong i cant believe i fell for your schemes im smarter than that so dumb and naive to believe that with me youre a changed man foolish of me to compete when you cheat with loose women it took me some time but now i moved on cause i realized i got me myself and i thats all i got in the end thats what i found out and it aint no need to cry i took a vow that from now on im gon be my own best friend me myself and i thats all i got in the end thats what i found out and it aint no need to cry i took a vow that from now on im gon be my own best friend youre so controlling you say that you love me but you dont your family told me one day i would see it on my own next thing i know im dealing with your three kids in my home love is so blind it feels right when its wrong now that its over stop calling me come pick up your clothes aint no need to front like youre still with me all your homies know even your very best friend tried to warn me on the low took me some time but now i am strong because i realize i got me myself and i thats all i got in the end thats what i found out and it aint no need to cry i took a vow that from now on im gon be my own best friend me myself and i thats all i got in the end thats what i found out and it aint no need to cry i took a vow that from now on im gon be my own best friend i got me myself and i i know that i will never disappoint myself i must have cried a thousand times all the ladies if you feel me help me sing it out i can regret times spent with you yeah you hurt me but i learned a lot along the way now i will vow to make it through after all the rain youll see the sun come out again i got me myself and i yeah i know that i will never disappoint myself i must have cried a thousand times ive cried all the ladies if you feel me help me sing it out i can regret times spent with you yeah you hurt me but i learned a lot along the way now i will vow to make it through after all the rain youll see the sun come out again yeah oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh i got me myself and i me myself and i i must have cried a thousand times i have cried so many times i can regret times spent with you i can regret times spent with you now i will vow to make it through after all the rain youll see the sun come out again i got me myself and i i know that i will never disappoint myself i must have cried a thousand times if you cried a thousand times incomprehensible i can regret times spent with you yeah you hurt me but i learned a lot along the way now i will vow to make it through i could see the sun shine im gonna be myself tonight,3,Betray,Suresh
27,turn me on,kevin lyttle,2004,oh yea ah ah ah is ah big dancehall song in know madzart alongside kevin little you know how it is you know how we go you knowfor the longest while we jamming in the party and you wining in on me pushing everything up right back on top of me tea hey aibut if you think youre gonna get away from me you better change your mind youre going home youre going home with me tonightlet me hold you girl caress my bodyyou got me going crazy you turn me on turn me onlet me jam you girl wine all around me you got me going crazy you turn me on turn me onthe girl ya nah go get way tonight if she think mad man nah go fight me done feed her with popcorn and sprite now she whar come fly way like kiteooh yea yea ooh yea yea ooh yea yea yea ooh yea yea yea yea yea yea yea yeaone hand on the ground and bumper cock sky high wining hard on me got my python hollerin for mercy yea hey ai then i whisper in her ear so wine harder and then she said to me boy just push that thing push it harder back on meso let me hold you girl caress my bodyyou got me going crazy you turn me on turn me onlet me jam you girl wine all around me you got me going crazy you turn me on turn me on girl justhug me hug me kiss me squeeze me hug me hug me kiss and caress mehug me hug me kiss me squeeze me hug me hug me kiss and caress methe girl ya nah go get way tonight if she think madd man nah go fight me done feed her with popcorn and sprite now she whar come fly way like kitefor the longest while we jamming in the party and youre wining on me pushing everything up right back on top of me tea hey aibut if you think youre gonna get away from me you better change your mind youre going home youre going home with me tonightlet me hold you girl caress my bodyyou got me going crazy you turn me on turn me onlet me jam you go wine all around me you got me going crazy you turn me on turn me on yeah eah nahnananana eah yeahhug me hug me kiss me kiss me hug me hug me kiss and caress mehug me hug me squeeze me squeeze me hug me girl and kiss and caress meyeah yeah yeah eah oh yeah,1,Party,Suresh
28,the first cut is the deepest,sheryl crow,2004,i would have given you all of my heart but theres someone whos torn it apart and hes taking just all that i had but if you wanna try to love again baby ill try to love again but i know the first cut is the deepest baby i know the first cut is the deepest but when it comes to being lucky hes cursed when it comes to lovin me hes worse i still want you by my side just to help me dry the tears that ive cried but im sure gonna give you a try if you wanna try to love again try baby ill try to love again but i knowthe first cut is the deepest baby i know the first cut is the deepest but when it comes to being lucky hes cursed when it comes to lovin me hes worse i still want you by my side just to help me dry the tears that ive cried but im sure gonna give you a try cause if you wanna try to love again try to love again try to love again baby ill try to love again but i knowthe first cut is the deepest baby i know the first cut is the deepest but when it comes to being lucky hes cursed when it comes to lovin me hes worse the first cut is the deepest baby i know the first cut is the deepest try to love again,1,Betray,Suresh
29,you dont know my name,alicia keys,2004,baby baby baby from the day i saw you really really wanted to catch your eye somethin special bout you i must really like you cause not a lot of guys are worth my time oohoh baby baby baby its getting kind of crazy cause you are taking over my mindand it feels like ooh you dont know my name i swear it feels like ooh you dont know my name round and round and round we go will you ever knowoh baby baby baby i see us on our first date doing everything that makes me smile when we had our first kiss it happened on a thursday ooh it set my soul on fireooh baby baby baby i cant wait for the first time my imaginations running wildit feels like ooh you dont know my name and i swear it baby it feels like ooh you dont know my name round and round and round we go will you ever knowim sayin he dont even know what hes doin to me got me feelin all crazy inside im feelin like oh doing nothing ive ever done for anyones attention take notice of whats in front of youcause did i mention oh you bout to miss a good thing and youll never know how good it feels to have all my affection and youll never get a chance to experience my lovin oh cause my lovin feels likeooh you dont know my name and i swear it feels like ooh you dont my nameyou dont know my name baby baby i swear its like oohyou dont know my name it feels like ooh and you dont my name and i swear on my mother and father it feels like ooh ooh will you ever know,1,Romantic,Suresh
30,my place,nelly featuring jaheim,2004,i used to pride myself on being the other man but now its flipped and i dont want you with no other man why cant you understand anything im offering i gave you the world but you just wanted arguing from the time i picked you up until the time i dropped you off again even if flipped out on me at the mall again its all his fault again thats what you telling all ya friends i aint pointing no fingers ma i just want to call again see how ya day going i know they stressing on ya i know them times get hard thats why im checking on ya its yours truly ma i got little message for ya anything he can do girl i can do better for ya causecause when we laugh or we cry its together through the rain and the stormiest weather we goin still be as one its forever its foreverwont you come on and go with me oh girl come on over to my place wont you sit ya self down and take a seat and let me ease ya mind girl we gon do it our way our wayi heard your friend tell a friend that told a friend of mine that you was thinking that we should do it one more time this aint the truth then hopefully its not a lie cause i aint got no issue with hitting that another time we never had a problem with getting it done disagreed upon a lot ma but the sex wouldnt one now check it i know you get excited when i come around and bite it quit frowning up and quit acting like you dont like it i like it i know you like i like it you really like it i really really like it i want it you really want it adore it adore it so come let me enjoy it so come let me enjoy itcause when we laugh or we cry its together through the rain and the stormiest weather we goin still be as one its forever its foreverwont you come on and go with me oh girl come on over to my place wont you sit ya self down and take a seat and let me ease ya mind girl we gon do it our way our wayshawty where you been feels like a long time long long time since i seen ya yes it has girl and i know i said some dumb things to you before but girl you know i didnt mean it i didnt mean one single word i never meant one single word i didnt mean one single word i didnt mean one single word if i could take back every word i would and more for sure if i thought that you believe it cause you make my life so convenient for mecause when we laugh or we cry its together through the rain and the stormiest weather we goin still be as one its forever its foreverwont you come on and go with me oh girl come on over to my place wont you sit ya self down and take a seat and let me ease ya mind girl we gon do it our way our wayi like it i know you like i like it you really like it i really really like it i want it you really want it adore it adore it so come let me enjoy iti like it i know you like i like it you really like it i really really like it i want it you really want it adore it adore it so come let me enjoy itcause when we laugh or we cry its together through the rain and the stormiest weather we goin still be as one its forever its forever,1,Romantic,Suresh
31,overnight celebrity,twista,2004,oh you didnt think we can it again twista kanye west from po pimping to poppin tags from chunkiest to slow jamz oh baby we can even make you a overnight celebrity know what im saying come onwhy dont we play something these hoesd like drive whips i know they like twista you told her right i could make you a celebrity overnight give you ice like kobe right we sorta like goldie right the way we mode em right i could make you a celebrity overnightgirl i see you in them apple bottom jeans chinchilla on your back i wanna know your name girl im twista i could blow your brains put you in a chameleon 04 range still sexy when you smoke that flame jerk you like a chicken when you throw that thang she got me hotter than a oven the way that she talk switching to freaky so im loving the way that she walk you looking good girl you oughta be in pictures listen to me i see your career going sky high taking you home to the crib in the chi and everytime i see your thighs i cry when i drive by watching you should be a thrill got the fellas hustling trying to get steady screaming mymymymy walk on the carpet with the bells that flick in the dark kicking it on the couch at 106 park i can see your beauty on the big screen i can see me freaking you with whip cream i can see you on stage at the awards with a dress better than jennifers and doing big things kick it with me i can mold your life you looking good girl show you right dre told me you the prototype i can make you a celebrity overnightwhy dont we play something these hoesd like drive whips i know they like twista you told her right i could make you a celebrity overnight give you ice like kobe right we sorta like goldie right the way we mode em right i could make you a celebrity overnightwhy dont we play something these hoesd like drive whips i know they like twista you told her right i could make you a celebrity overnight give you ice like kobe right we sorta like goldie right the way we mode em right i could make you a celebrity overnightyou want fame you can take that path candlelights when you take a bath you got such a sensational ass ima get you jimmy chew and ma baker bags i can cop her a 2000 and 3 make her smile when she sees spres i can get you on cds and dvds take you to bbs and pcbg i can get you in the places to be into the people to know or show you things sticker than to i wanna be your lover undercover don and protect you from others dont ever let a brother pimp you if you want the style you can rich your blood yall take a look at her she got such an astonishing body i can see you in some gucci or erika vali and i bet she gon put a hurt on em hard in the party and you know you kill em in the club we go you was born to be a po how you gon sticking fo dos and i love you cause you freaky with the dope clothes drop it to the flo let it go when you roll slow and i love it when i hit it from the back and you get on top of me and have a brother going ohoh girl i love how you roll me right i can make you a celebrity overnightwhy dont we play something these hoesd like drive whips i know they like twista you told her right i could make you a celebrity overnight give you ice like kobe right we sorta like goldie right the way we mode em right i could make you a celebrity overnightyou see see baby girl you see how you make a brother break down i just gotta ask you what you need what you need from me oh you wanna be a star are you messing with the right one i can take you there i can make sure youve got all the finest things let me be your managercome here girl i could see you bored took you to the queen that i see you for take you shopping on sprees in stores ima get you to the mtv awards we about to do a show tonight you looking good girl show you right take you places i know you like i could make you a celebrity overnight come here girl you could hang if you bored we could do plenty things plus more im about to have you change in the stores i can even get you to the soul train awards we about to do a show tonight you looking good girl show you right take you places i know you like i could make you a celebrity overnight,1,Party,Suresh
32,hotel,cassidy featuring r kelly,2004,ladies and gentlemen you are listening to the sounds of swiss beatz we got cassidy in here kels we in our throwbacks this is for the ladies we got room keysgirl you want to come to my hotel baby i will leave you my room key im feelin the way you carry yourself girl and i want to get with you cause yous a cutie so if you want to come to my hotel all you gotta do is holler at me cause were having an after party checkin out 6 in the mornin six in the mornini be staying in the hotel not the motel or the holiday inn if that girl dont participate well then ima take her friend but if mami is with it then mami can give if mami a rider ima slide up beside her mama i got a suite you can creep on through i know you tryin to get your freak on too i do it all for the ladies yeah i ball for the ladies hit the mall for the ladies keep it fly for the ladies keep my eye on the ladies hot tub for the ladies pop bub for the ladies i got love for my ladiesgirl you want to come to my hotel baby i will leave you my room key im feelin the way you carry yourself girl and i want to get with you cause yous a cutie so if you want to come to my hotel all you gotta do is holler at me cause were having an after party checkin out 6 in the mornin six in the morninwe the new cartel rkel and the kid cassidy say what girl if your man start actin up ask for him or ask for me say what cause see we could go get it crackin but you know whatll happen we be under the covers makin love to each other i got a double bed ones to sleep on the other ones to get my freak on its all for the ladies yeah i ball for the ladies hit the mall for the ladies keep it fly for the ladies keep my eye on the ladies hot tub for the ladies pop bub for the ladies i got love for my ladiesgirl you want to come to my hotel baby i will leave you my room key im feelin the way you carry yourself girl and i want to get with you cause yous a cutie so if you want to come to my hotel all you gotta do is holler at me cause were having an after party checkin out 6 in the mornin six in the morninwe gon chitown step it out til the club lettin out then we gon sex it out til we all checking out i got my chicks ima bring to the telly we bout to do the damn thing sing to em kellyits alrightits alright if you want to come with me and fulfill your fantasy baby in my hotel suite and its ok if you want to party night til day i will do anything you say just come to my hotelgirl you want to come to my hotel baby i will leave you my room key im feelin the way you carry yourself girl and i want to get with you cause yous a cutie so if you want to come to my hotel all you gotta do is holler at me cause were having an after party checkin out 6 in the mornin six in the mornin,1,Party,Suresh
33,numb,linkin park,2004,im tired of being what you want me to be feeling so faithless lost under the surface i dont know what youre expecting of me put under the pressure of walking in your shoes caught in the undertow just caught in the undertow every step that i take is another mistake to you caught in the undertow just caught in the undertowive become so numb i cant feel you there become so tired so much more aware by becoming this all i want to do is be more like me and be less like youcant you see that youre smothering me holding too tightly afraid to lose control cause everything that you thought i would be has fallen apart right in front of you caught in the undertow just caught in the undertow every step that i take is another mistake to you caught in the undertow just caught in the undertow and every second i waste is more than i can takeive become so numb i cant feel you there become so tired so much more aware by becoming this all i want to do is be more like me and be less like youand i know i may end up failing too but i know you were just like me with someone disappointed in youive become so numb i cant feel you there become so tired so much more aware by becoming this all i want to do is be more like me and be less like youive become so numb i cant feel you there im tired of being what you want me to be ive become so numb i cant feel you there im tired of being what you want me to be,1,Sad,Suresh
34,diary,alicia keys featuring tony toni tone,2004,lay your head on my pillow here you can be yourself no one has to know what you are feeling no one but me and youi wont tell your secrets your secrets are safe with me i will keep your secrets just think of me as the pages in your diaryi feel such a connection even when youre far away mm oh baby if there is anything that you fear anything call 4894608 and ill be herei wont tell your secrets your secrets are safe with me i will keep your secrets just think of me as the pages in your diary yeah mhum a yeah you know whatonly we know what is talked about baby boy i dont know how you can be driving me so crazy boy baby when youre in town why dont you come around boy ill be the loyalty you need you can trust me boyi wont tell your secrets your secrets are safe with me i will keep i will keep your secrets your secrets just think of me as the pages in your diaryeverybody say woo woo lemme hear you say woo woo lemme hear you say woo woo im saying wooooh wooooh lemme hear you say i wont tell i wont tell i wont tell i wont tell i wont tell i wont tell your secrets your secrets break it down secret secret,1,Romantic,Suresh
35,she will be loved,maroon 5,2004,beauty queen of only eighteen she had some trouble with herself he was always there to help her she always belonged to someone elsei drove for miles and miles and wound up at your door ive had you so many times but somehow i want morei dont mind spendin everyday out on your corner in the pourin rain look for the girl with the broken smile ask her if she wants to stay awhile and she will be loved and she will be loved meaning byamandah editor selfproclaimed maroon 5 fan mike schiavos audition for 2016s season of the voice ended in a duet with adam levine himself watch them nail she will be see all tap on my window knock on my door i want to make you feel beautiful i know i tend to get so insecure it doesnt matter anymoreits not always rainbows and butterflies its compromise that moves us along yeah my heart is full and my doors always open you can come anytime you want yeahi dont mind spendin everyday out on your corner in the pourin rain look for the girl with the broken smile ask her if she wants to stay awhile and she will be loved and she will be loved and she will be loved and she will be lovedi know where you hide alone in your car know all of the things that make you who you are i know that goodbye means nothing at all comes back and makes me catch her every time she fallsyeah tap on my window knock on my door i want to make you feel beautifuli dont mind spendin everyday out on your corner in the pourin rain oh look for the girl with the broken smile ask her if she wants to stay awhile and she will be loved and she will be loved and she will be loved and she will be lovedplease dont try so hard to say goodbye i dont mind spendin everyday out on your corner in the pourin rain please dont try so hard to say goodbye,1,Romantic,Suresh
36,white flag,dido,2004,i know you think that i shouldnt still love you or tell you that but if i didnt say it well id still have felt it wheres the sense in thati promise im not trying to make your life harder or return to where we werei will go down with this ship and i wont put my hands up and surrender there will be no white flag above my door im in love and always will bei know i left too much mess and destruction to come back again and i caused nothing but trouble i understand if you cant talk to me again and if you live by the rules of its over then im sure that that makes sensei will go down with this ship and i wont put my hands up and surrender there will be no white flag above my door im in love and always will beand when we meet which im sure we will all that was there will be there still ill let it pass and hold my tongue and you will think that ive moved oni will go down with this ship and i wont put my hands up and surrender there will be no white flag above my door im in love and always will bei will go down with this ship and i wont put my hands up and surrender there will be no white flag above my door im in love and always will bei will go down with this ship and i wont put my hands up and surrender there will be no white flag above my door im in love and always will be,1,Sad,Suresh
37,heaven,los lonely boys,2004,vamonossave me from this prison lord help me get away cause only you can save me now from this misery ive been lost in my own place and im gettin weary how far is heaven and i know that i need to change my ways of livin how far is heaven lord can you tell meive been locked up way too long in this crazy world how far is heaven and i just keep on prayin lord and just keep on livin how far is heaven yeah lord can you tell me how far is heaven cause i just gotta to show some faith yeah how far is heaven yeah lord can you tell metu que estas en alto cielo echame tu bendicion,1,Sad,Suresh
38,its my life,no doubt,2004,its funny how i find myself in love with you if i could buy my reasoning id pay to lose one half wont do ive asked myself how much do you commit yourselfits my life dont you forget its my life it never endsfunny how i blind myself i never knew if i was sometimes played upon afraid to lose id tell myself what good do you do convince myselfits my life dont you forget its my life it never endsive asked myself how much do you commit yourselfits my life dont you forget caught in the crowd it never endsits my life dont you forget caught in the crowd it never endsits my life its my life dont you forget dont you forget caught in the crowd caught in the crowd it never ends it never ends,1,Betray,Suresh
